Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
12/22/2017,168.75,171.2,166.95,167.95,168,10856345,18374.44
12/21/2017,166.65,168.9,165.8,167.8,167.9,8281308,13885.49
12/20/2017,167.9,168.3,166.4,166.7,166.65,4628882,7748.61
12/19/2017,171.35,172.95,167.3,168.45,168.3,11037991,18745.25
12/18/2017,164,171.95,155,169.5,169.4,17913408,29963.1
12/15/2017,168,169.15,164.75,165.4,165.25,8813162,14706.01
12/14/2017,164.8,166.8,162.5,166,165.85,8241166,13565.46
12/13/2017,165.1,166.5,163.05,163.95,163.75,8908042,14682.52
12/12/2017,167.6,167.7,165.05,165.1,165.6,7947508,13191.94
12/11/2017,168.6,169.25,166.9,167.15,167.45,5678110,9532.71
12/8/2017,168.65,169.95,167.05,167.55,167.45,8613753,14494.87
12/7/2017,167.9,169,166.35,167.9,167.95,6881470,11548.06
12/6/2017,168.8,170.15,165.1,165.85,165.95,7672622,12881.87
12/5/2017,169.75,171.6,165.45,169.85,170,10343172,17460.4
12/4/2017,168.65,171.3,165.5,170.9,170.1,10713977,18047.73
12/1/2017,169.7,172.5,165.05,166.7,167.6,14876690,25308.74
11/30/2017,170.9,172.9,168.4,169.7,169.1,15598331,26661.03
11/29/2017,172.2,173.3,169.9,172,171.65,12069869,20725.43
11/28/2017,175.7,176.15,171.5,171.8,172.25,8869406,15454.63
11/27/2017,176,176.15,174.05,175.4,175.4,7632874,13362.98
11/24/2017,178.7,179.75,176.15,176.8,176.85,8407178,14946.54
11/23/2017,180.7,181.35,176.05,178,178.1,10580968,18894.22
11/22/2017,181.5,183.65,177.1,180.6,180.65,16415341,29698.18
11/21/2017,185.6,186.25,179.15,180.05,180.35,12505118,22785.92
11/20/2017,183.8,187.85,182.5,184.05,184.45,14192200,26235.52
11/17/2017,190,191.85,182.05,183.4,183.55,31017855,57872.24
11/16/2017,176.75,184,175.25,183.75,182.8,21563190,38649.03
11/15/2017,177.5,181.2,169.3,175.05,175.2,43833572,77540.37
11/14/2017,173.3,177.4,172.7,174.65,174.35,20140602,35296.05
11/13/2017,171.5,175.35,169.25,171.85,172.1,14478546,25000.71
11/10/2017,165,173.7,164,170.8,169.8,19819112,33560.93
11/9/2017,164.4,166.4,161.65,165.6,165.55,8118331,13346.68
11/8/2017,166.2,167.15,160.75,163.2,162.3,9187572,15067.69
11/7/2017,173.8,175,164.1,165.2,165.25,13197516,22287.02
11/6/2017,172,176,170.5,172.25,172.6,15542622,27018.61
11/3/2017,170.3,172.5,167.2,171.8,171.75,18117337,30813.94
11/2/2017,172.85,174.65,168.6,169.1,169.55,11455496,19603.41
11/1/2017,172.9,175.4,171.2,172.85,172.45,14602616,25291.11
10/31/2017,175.35,177.7,167.85,170.3,169.9,13702475,23602.47
10/30/2017,174.3,184.7,173.55,174.35,174.65,14562346,26051.32
10/27/2017,184.75,188.8,173.6,174.2,174.4,21689785,38788.25
10/26/2017,189,206.65,182,184.3,185.7,49068444,93832.32
10/25/2017,157.45,192.9,157.45,184,188.15,136846102,245830.97
10/24/2017,138.6,145.15,138.5,143.2,143.15,12480604,17784.77
10/23/2017,135,138.9,133.5,138.7,137.9,6988351,9487.22
10/19/2017,136.9,136.9,134.05,134.4,134.9,1510641,2046.08
10/18/2017,138.45,138.9,136,136.7,136.7,7209573,9899.74
10/17/2017,138.3,140.6,138.05,139.15,139.15,4082412,5685.86
10/16/2017,140.5,140.9,137.7,138.25,138.2,5854218,8135.24
10/13/2017,139,141.75,138.05,139.75,139.55,5536201,7757.89
10/12/2017,138.6,138.9,136.1,138.65,138.55,9074838,12498.87
10/11/2017,142,143.6,137.9,138.8,138.6,6039529,8488.7
10/10/2017,141.9,143.2,141.25,141.6,141.65,5506768,7818.32
10/9/2017,141.5,142.8,140.5,141.9,141.55,4845869,6855.7
10/6/2017,139.8,142.5,139.55,141.5,141.8,6979919,9868.25
10/5/2017,137.75,140.25,137.2,140,139.6,6241934,8656.89
10/4/2017,138,139,136.7,137.55,137.55,7166677,9869.51
10/3/2017,138.9,139.9,136.35,137.15,137.3,9999986,13767.27
9/29/2017,139.1,140.75,137.1,137.95,137.6,7676701,10670.5
9/28/2017,138.5,140.3,137.2,138.85,138.55,27555317,38207.49
9/27/2017,143.9,143.9,137.85,138.3,138.5,8190665,11523
9/26/2017,142.6,144.2,140.95,142.7,142.65,7186304,10251.26
9/25/2017,141.85,143.25,138.2,142.65,142.6,9012712,12672.34
9/22/2017,145,145,141.5,142.3,141.85,11341028,16209.15
9/21/2017,148.9,148.9,144.65,145.4,145.6,12114445,17726.06
9/20/2017,144.3,151,143.8,148.1,148.35,15549320,22965.84
9/19/2017,145.2,146,143.15,144.3,144.55,6833002,9872.67
9/18/2017,146,149,144.75,145.2,145.45,9099176,13377.94
9/15/2017,144.3,146,143.7,145.3,145.3,9971545,14438.04
9/14/2017,143.8,147,143.8,145.4,145.7,11680566,17025.65
9/13/2017,142.2,145.9,141.6,143.95,143.8,15466661,22337.33
9/12/2017,138.25,142.5,137.2,142.2,141.85,14798852,20862.8
9/11/2017,139.3,139.6,137.15,137.4,137.45,8737567,12060.23
9/8/2017,140.4,140.4,136.5,136.7,136.8,8057267,11109.95
9/7/2017,138.8,140.95,138.55,139.6,139.55,10371362,14519.82
9/6/2017,137,139.3,136.4,138.1,138.35,11293085,15554.58
9/5/2017,136.8,139,136,138.6,138.4,10799999,14888.2
9/4/2017,138.9,139.25,135.8,136.9,136.8,10476474,14395.27
9/1/2017,139,140.85,137.65,138.35,138.25,12375796,17207.81
8/31/2017,140.25,140.4,137.2,138.3,137.85,14641211,20299.18
8/30/2017,141.05,142.1,139.05,139.8,139.45,11604114,16301.8
8/29/2017,141.95,143.5,139.6,139.95,140.05,14024022,19835.36
8/28/2017,143.8,145.9,143.05,144,144.25,10531819,15213.74
8/24/2017,141.1,144,140.65,142.85,142.85,12332259,17576.96
8/23/2017,140.7,142.25,138.45,140.75,140.95,18892523,26560.12
8/22/2017,143.05,143.75,138.2,139.6,139.35,17697793,24853.67
8/21/2017,147.9,149.6,141,142,142.1,11173367,16264.39
8/18/2017,146.25,148.25,144.3,147.65,147.2,13628146,19961.67
8/17/2017,148.3,152.25,146.65,148.3,148.25,20122929,30133.54
8/16/2017,143.3,148.65,137.65,146.95,147.15,25054671,35694.11
8/14/2017,140,143.2,139.7,142.05,142.25,16094565,22815.66
8/11/2017,145.6,150.5,141.2,142.7,142.25,14474693,21085.8
8/10/2017,153.9,155.6,145.4,149,148.45,10557366,15925.72
8/9/2017,156.9,157.7,154.15,154.9,155.2,7541485,11741.12
8/8/2017,161.2,161.25,156.1,156.6,156.55,5960785,9399.87
8/7/2017,160.7,161.3,159.2,160,160.05,4382843,7022.59
8/4/2017,158,160.85,155.4,159.1,158.95,7121754,11306.82
